temperature,humidity,datetime
24.0,39.0,2022-10-22 18:13:35.840537
24.0,39.0,2022-10-22 18:13:36.366535
24.0,39.0,2022-10-22 18:13:36.892439
24.0,39.0,2022-10-22 18:13:37.418918
24.0,39.0,2022-10-22 18:13:37.944855
24.0,39.0,2022-10-22 18:13:38.470795
24.0,39.0,2022-10-22 18:13:41.524452
24.0,39.0,2022-10-22 18:13:42.050366
24.0,39.0,2022-10-22 18:13:42.576375
24.0,39.0,2022-10-22 18:13:45.633284
24.0,39.0,2022-10-22 18:13:46.159590
24.0,39.0,2022-10-22 18:13:46.685533
24.0,39.0,2022-10-22 18:13:47.211472
24.0,39.0,2022-10-22 18:13:47.737448
24.0,39.0,2022-10-22 18:13:48.263744
24.0,39.0,2022-10-22 18:13:48.789706
24.0,39.0,2022-10-22 18:13:49.315689
24.0,39.0,2022-10-22 18:13:49.841615
24.0,39.0,2022-10-22 18:13:50.367605
24.0,39.0,2022-10-22 18:13:50.893882
24.0,39.0,2022-10-22 18:13:51.419689
24.0,39.0,2022-10-22 18:13:51.946020
24.0,39.0,2022-10-22 18:13:52.471199
24.0,39.0,2022-10-22 18:13:52.997164
24.0,39.0,2022-10-22 18:13:53.523101
24.0,39.0,2022-10-22 18:13:54.049049
24.0,39.0,2022-10-22 18:13:54.574989
24.0,39.0,2022-10-22 18:13:55.100904
24.0,39.0,2022-10-22 18:13:55.627264
24.0,39.0,2022-10-22 18:13:56.153211
24.0,39.0,2022-10-22 18:13:56.679171
24.0,39.0,2022-10-22 18:13:57.205086
24.0,39.0,2022-10-22 18:13:57.731060
24.0,39.0,2022-10-22 18:13:58.257583
24.0,39.0,2022-10-22 18:13:58.783450
24.0,39.0,2022-10-22 18:13:59.309370
24.0,39.0,2022-10-22 18:13:59.835698
24.0,39.0,2022-10-22 18:14:00.361657
24.0,39.0,2022-10-22 18:14:00.887640
24.0,39.0,2022-10-22 18:14:01.413597
24.0,39.0,2022-10-22 18:14:01.939527
24.0,39.0,2022-10-22 18:14:02.465459
24.0,39.0,2022-10-22 18:14:02.991376
24.0,39.0,2022-10-22 18:14:03.517328
24.0,39.0,2022-10-22 18:14:04.043208
24.0,39.0,2022-10-22 18:14:04.569062
24.0,39.0,2022-10-22 18:14:05.094896
24.0,39.0,2022-10-22 18:14:05.620748
24.0,39.0,2022-10-22 18:14:06.146694
24.0,39.0,2022-10-22 18:14:06.672589
24.0,39.0,2022-10-22 18:14:07.198421
24.0,39.0,2022-10-22 18:14:07.724304
